sit	octal	total	clade	geography
585	000000000000031	5	BEIJING-LIKE	BRA(2) FXX(2) USA(1)
250	000000000000371	12	BEIJING-LIKE	AUS(1) FXX(1) IDN(2) MYS(1) USA(5) VNM(2)
539	000000000000600	19	MICROTI	FXX(4) GBR(6) NLD(6) USA (3)
406	000000000000731	10	BEIJING-LIKE	IND(1) ITA(1) USA (8)
269	000000000000771	38	BEIJING-LIKE	DEU(2) FXX(1) GEO(1) HTI(2) IDN(1) JPN(1) MEX(1) RUS(8) SAU(1) USA(19) VNM(1)
796	000000000001771	7	BEIJING-LIKE	BGD(2) GEO(3) USA (1) VNM(1)
1162	000000000002171	5	BEIJING	MYS(1) USA (4)
621	000000000002771	6	BEIJING	ARM(2) IND(1) USA(1) VNM(2)
540	000000000003031	3	BEIJING	USA (3)
260	000000000003171	6	BEIJING	RUS(2) USA (4)
265	000000000003371	26	BEIJING	AZE(1) ISR(5) MYS(1) NLD(2) RUS(7) THA(2) USA (7) VNM(1)
940	000000000003401	4	BEIJING	ITA(1) THA(2) VNM(1)
1364	000000000003471	4	BEIJING	IDN(1) KOR(1) MYS(2)
632	000000000003571	3	BEIJING	GEO(1) THA(2)
1168	000000000003631	2	BEIJING	USA (2)
1651	000000000003661	2	BEIJING	IDN(1) IND(1)
255	000000000003671	19	BEIJING	BEL(1) FXX(1) ITA(2) MDG(1) MYS(3) REU(1) THA(3) USA(6) VNM(1)
1311	000000000003700	4	U	AUS(1) IND(2) USA(1)
541	000000000003711	6	BEIJING	IND(1) USA (5)
190	000000000003731	48	BEIJING	CUB(1) GEO(2) IDN(1) LVA(1) MYS(2) NLD(1) RUS(3) THA(5) USA (30) VNM(2)
941	000000000003751	6	BEIJING	GBR(1) MEX(1) THA(2) USA (2)
1674	000000000003761	3	BEIJING	MDG(1) REU(1) USA(1)
