Sample,R1,R2,Layout
ERR13430469,/home/zerg/git/tb-lite/data/ERR13430469_1.fastq,,SOLO
ERR15166663,/home/zerg/git/tb-lite/data/ERR15166663_1.fastq,/home/zerg/git/tb-lite/data/ERR15166663_2.fastq,PAIRED
ERR15166664,/home/zerg/git/tb-lite/data/ERR15166664_1.fastq,/home/zerg/git/tb-lite/data/ERR15166664_2.fastq,PAIRED
ERR4797591,/home/zerg/git/tb-lite/data/ERR4797591_1.fastq,/home/zerg/git/tb-lite/data/ERR4797591_2.fastq,PAIRED
ERR4797753,/home/zerg/git/tb-lite/data/ERR4797753_1.fastq,/home/zerg/git/tb-lite/data/ERR4797753_2.fastq,PAIRED
ERR4817364,/home/zerg/git/tb-lite/data/ERR4817364_1.fastq,/home/zerg/git/tb-lite/data/ERR4817364_2.fastq,PAIRED
ERR4817517,/home/zerg/git/tb-lite/data/ERR4817517_1.fastq,/home/zerg/git/tb-lite/data/ERR4817517_2.fastq,PAIRED
ERR4832040,/home/zerg/git/tb-lite/data/ERR4832040_1.fastq,/home/zerg/git/tb-lite/data/ERR4832040_2.fastq,PAIRED
ERR5917722,/home/zerg/git/tb-lite/data/ERR5917722_1.fastq,/home/zerg/git/tb-lite/data/ERR5917722_2.fastq,PAIRED
S200018556_unknown,/home/zerg/git/tb-lite/data/S200018556_unknown_1.fq.gz,/home/zerg/git/tb-lite/data/S200018556_unknown_2.fq.gz,PAIRED
S250021979_1-0_MIX,/home/zerg/git/tb-lite/data/S250021979_1-0_MIX_1.fq.gz,/home/zerg/git/tb-lite/data/S250021979_1-0_MIX_2.fq.gz,PAIRED
S250021979_2410220094,/home/zerg/git/tb-lite/data/S250021979_2410220094_1.fq.gz,/home/zerg/git/tb-lite/data/S250021979_2410220094_2.fq.gz,PAIRED
S250021979_2410220150,/home/zerg/git/tb-lite/data/S250021979_2410220150_1.fq.gz,/home/zerg/git/tb-lite/data/S250021979_2410220150_2.fq.gz,PAIRED
SRR10315480,/home/zerg/git/tb-lite/data/SRR10315480_1.fastq,/home/zerg/git/tb-lite/data/SRR10315480_2.fastq,PAIRED
SRR14164862,/home/zerg/git/tb-lite/data/SRR14164862_1.fastq,/home/zerg/git/tb-lite/data/SRR14164862_2.fastq,PAIRED
SRR14165117,/home/zerg/git/tb-lite/data/SRR14165117_1.fastq,/home/zerg/git/tb-lite/data/SRR14165117_2.fastq,PAIRED
SRR26399707,/home/zerg/git/tb-lite/data/SRR26399707_1.fastq,/home/zerg/git/tb-lite/data/SRR26399707_2.fastq,PAIRED
SRR32010433,/home/zerg/git/tb-lite/data/SRR32010433_1.fastq,,SOLO
SRR32010482,/home/zerg/git/tb-lite/data/SRR32010482_1.fastq,,SOLO
SRR34127909,/home/zerg/git/tb-lite/data/SRR34127909_1.fastq,/home/zerg/git/tb-lite/data/SRR34127909_2.fastq,PAIRED
SRR6930891,/home/zerg/git/tb-lite/data/SRR6930891_1.fastq,/home/zerg/git/tb-lite/data/SRR6930891_2.fastq,PAIRED
